Designator,Mid X,Mid Y,Rotation,Layer
C1,144.399,-38.354,0.0,top
C10,95.675,-51.50156,0.0,bottom
C11,95.675,-49.85117,0.0,bottom
C12,95.675,-48.20078,0.0,bottom
C13,95.675,-46.55039,0.0,bottom
C14,95.675,-44.9,0.0,bottom
C15,101.725,-76.4,0.0,top
C16,94.9,-70.2,90.0,top
C17,92.6,-70.2,90.0,top
C2,141.3577,-38.354,0.0,top
C21,110.5,-48.35,180.0,top
C3,138.3164,-38.354,0.0,top
C4,114.2,-53.0,90.0,top
C5,106.775,-48.35,180.0,top
C6,95.675,-58.103125,0.0,bottom
C7,95.675,-56.45273,0.0,bottom
C8,95.675,-54.80234,0.0,bottom
C9,95.675,-53.15195,0.0,bottom
D0,133.0,-64.7,0.0,top
D1,129.0225,-38.354,0.0,top
D2,103.5,-42.45,270.0,top
D3,106.4,-42.45,90.0,top
D4,104.95,-46.25,0.0,top
GN1,128.123,-74.259,270.0,top
J1,123.8,-39.1,270.0,top
J2,147.034,-71.636,0.0,top
L1,111.0,-52.7,90.0,top
P1,104.7,-62.3,270.0,top
P2,98.5,-51.5,270.0,top
Q1,121.55,-46.7,90.0,top
Q2,121.55,-42.7,90.0,top
Q3,107.15,-51.75,0.0,top
R0,132.9775,-67.1,0.0,top
R1,135.2751,-38.354,0.0,top
R10,120.4,-50.7,270.0,top
R11,123.9,-50.7,270.0,top
R12,96.7,-39.0,180.0,top
R13,108.15,-55.875,270.0,top
R14,105.25,-55.875,270.0,top
R15,109.8,-59.3125,270.0,top
R16,109.8,-63.3125,90.0,top
R17,106.0,-75.0,180.0,top
R18,105.925,-68.25,0.0,top
R19,105.9475,-70.025,0.0,top
R2,125.0,-46.7,90.0,top
R20,105.97,-71.75,0.0,top
R21,98.275,-76.4,0.0,top
R22,106.0,-76.75,180.0,top
R23,95.575,-65.5,0.0,top
R24,96.5,-67.25,0.0,top
R25,98.0,-69.0,0.0,top
R26,94.075,-73.2,180.0,top
R3,125.0,-42.7,270.0,top
R4,119.7875,-54.4,180.0,top
R5,123.9,-54.7,270.0,top
R6,143.575,-62.2,180.0,top
R7,139.7,-62.2,180.0,top
R8,132.2338,-38.354,180.0,top
R9,122.15,-50.7,270.0,top
SW1,111.1,-44.6,270.0,top
SW2,115.85,-44.55,270.0,top
SW3,133.3,-73.55,180.0,bottom
SW4,121.0,-73.55,180.0,bottom
SW5,108.6,-73.55,180.0,bottom
U1,137.0,-51.2,270.0,top
U2,100.075,-74.0,0.0,bottom
U3,94.1,-73.9125,0.0,bottom
